filecount 	uncompressed(bytes) 	compressed(bytes)
201972 	19998872239 	7471194261
41689 	17890493201 	9158004104
21273 	7355341527 	2132558676
16681 	1170769060 	264990707
13257 	22317865136 	10120553308
10136 	39670512 	5158729
9533 	87733828 	17087748
8612 	369638064 	184485744
7162 	387984354 	341471237
3474 	348899852 	76527006
3428 	763136430 	154239920
3232 	275624305 	109014215
2814 	2963635999 	376022917
2783 	523884659 	42521460
2749 	2109990464 	15144954
2493 	639887075 	198738315
1807 	1612734042 	222760931
1710 	1130313828 	815233795
1699 	2466039173 	409183999
1634 	425035055 	78104480
1624 	8859588467 	1335116787
1540 	14118021183 	2754835741
1532 	12460417 	8849993
1527 	44630191 	41520555
1359 	17541507 	5456389
1339 	87556930 	46261755
1255 	233385890 	101784342
1247 	62722397 	33511862
1212 	2757059250 	241648666
1165 	8182588474 	3546708901
1157 	212955978 	54081919
1155 	59007831 	24786476
1155 	470801893 	455990736
1092 	28546088 	10191533
1082 	12186512941 	2253897608
1056 	489443716 	107463362
1054 	399273959 	49618049
1048 	61713973 	14762273
1010 	66872806 	66585676
