aa_ID,aa_DOI,aa_URL,datafile_name
24,10.1257/0002828042002741,https://www.aeaweb.org/aer/data/sept04_data_engelmann.txt,0002828042002741_data.zip
33,10.1257/0002828043052295,https://www.aeaweb.org/aer/data/dec04_data_schaller.zip,0002828043052295_data.zip
83,10.1257/0002828054201251,https://www.aeaweb.org/aer/data/june05_data_saintpaul.zip,0002828054201251_data.zip
172,10.1257/aer.96.4.1043,https://www.aeaweb.org/aer/data/sept06/20030922_data.zip,aer_96_4_1043_data.zip
302,10.1257/aer.97.5.1751,https://www.aeaweb.org/aer/data/dec07/20041118_data.zip,aer_97_5_1751_data.zip
333,10.1257/aer.98.1.394,https://www.aeaweb.org/aer/data/mar08/20050803_data.zip,aer_98_1_394_data.zip
766,10.1257/mac.2.2.259,https://www.aeaweb.org/aej/mac/data/2009-0101_data.zip,mac_2_2_259_data.zip
884,10.1257/aer.100.4.1493,https://www.aeaweb.org/aer/data/sept2010/20080414_data.zip,aer_100_4_1493_data.zip
926,10.1257/mac.2.4.88,https://www.aeaweb.org/aej/mac/data/2008-0145_data.zip,mac_2_4_88_data.zip
954,10.1257/aer.100.5.2031,https://www.aeaweb.org/aer/data/dec2010/20040865_data.zip,aer_100_5_2031_data.zip
1031,10.1257/aer.101.1.158,https://www.aeaweb.org/aer/data/feb2011/20050257_data.zip,aer_101_1_158_data.zip
1086,10.1257/aer.101.2.664,https://www.aeaweb.org/aer/data/april2011/20090209_data.zip,aer_101_2_664_data.zip
1195,10.1257/mac.3.3.53,https://www.aeaweb.org/aej/mac/data/2009-0200_data.zip,mac_3_3_53_data.zip
1254,10.1257/aer.101.5.2108,https://www.aeaweb.org/aer/data/aug2011/20090375_data.zip,aer_101_5_2108_data.zip
1372,10.1257/aer.101.7.3308,https://www.aeaweb.org/aer/data/dec2011/20081333_data.pdf,aer_101_7_3308_data.zip
1658,10.1257/aer.102.5.1857,https://www.aeaweb.org/aer/data/aug2012/20100760_data.zip,aer_102_5_1857_data.zip
1671,10.1257/aer.102.5.2147,https://www.aeaweb.org/aer/data/aug2012/20090640_data.zip,aer_102_5_2147_data.zip
1984,10.1257/pol.5.2.282,https://www.aeaweb.org/aej/pol/data/2011-0096_data.zip,pol_5_2_282_data.zip
2034,10.1257/aer.103.3.178,https://www.aeaweb.org/aer/data/may2013/P2013_2852_data.zip,aer_103_3_178_data.zip
2229,10.1257/app.5.3.63,https://www.aeaweb.org/aej/app/data/2011-0103_data.zip,app_5_3_63_data.zip
2823,10.1257/mic.6.2.1,https://www.aeaweb.org/aej/mic/data/0602/2012-0113_data.zip,mic_6_2_1_data.zip
2899,10.1257/aer.104.5.107,https://www.aeaweb.org/aer/data/10405/P2014_1087_data.zip,aer_104_5_107_data.zip
2943,10.1257/aer.104.5.230,https://www.aeaweb.org/aer/data/10405/P2014_1170_data.zip,aer_104_5_230_data.zip
