"","doi","relationType","relatedIdentifier","relatedIdentifierType"
"1","10.3886/e229601v1","IsSupplementTo","10.1257/0002828043052295","DOI"
"2","10.3886/e229581v1","IsSupplementTo","10.1257/0002828042002741","DOI"
"3","10.3886/e231606v1","IsSupplementTo","10.1257/pol.5.2.282","DOI"
"4","10.3886/e231605v1","IsSupplementTo","10.1257/pol.20180651","DOI"
"5","10.3886/e231604v1","IsSupplementTo","10.1257/pol.20180612","DOI"
"6","10.3886/e231603v1","IsSupplementTo","10.1257/pol.20180605","DOI"
"7","10.3886/e231602v1","IsSupplementTo","10.1257/pol.20180592","DOI"
"8","10.3886/e231601v1","IsSupplementTo","10.1257/pol.20180543","DOI"
"9","10.3886/e231598v1","IsSupplementTo","10.1257/pol.20180374","DOI"
"10","10.3886/e231597v1","IsSupplementTo","10.1257/pol.20180352","DOI"
"11","10.3886/e231596v1","IsSupplementTo","10.1257/pol.20180265","DOI"
"12","10.3886/e231595v1","IsSupplementTo","10.1257/pol.20180230","DOI"
"13","10.3886/e231594v1","IsSupplementTo","10.1257/pol.20180131","DOI"
"14","10.3886/e231593v1","IsSupplementTo","10.1257/pol.20180076","DOI"
"15","10.3886/e231592v1","IsSupplementTo","10.1257/pol.20180033","DOI"
"16","10.3886/e231591v1","IsSupplementTo","10.1257/pol.20180027","DOI"
"17","10.3886/e231590v1","IsSupplementTo","10.1257/pol.20170709","DOI"
"18","10.3886/e231589v1","IsSupplementTo","10.1257/pol.20170688","DOI"
"19","10.3886/e231588v1","IsSupplementTo","10.1257/pol.20170620","DOI"
"20","10.3886/e231587v1","IsSupplementTo","10.1257/pol.20170604","DOI"
"21","10.3886/e231586v1","IsSupplementTo","10.1257/pol.20170588","DOI"
"22","10.3886/e231585v1","IsSupplementTo","10.1257/pol.20170506","DOI"
"23","10.3886/e231584v1","IsSupplementTo","10.1257/pol.20170503","DOI"
"24","10.3886/e231583v1","IsSupplementTo","10.1257/pol.20170441","DOI"
"25","10.3886/e231582v1","IsSupplementTo","10.1257/pol.20170306","DOI"
"26","10.3886/e231581v1","IsSupplementTo","10.1257/pol.20170243","DOI"
"27","10.3886/e231580v1","IsSupplementTo","10.1257/pol.20170195","DOI"
"28","10.3886/e231579v1","IsSupplementTo","10.1257/pol.20170144","DOI"
"29","10.3886/e231578v1","IsSupplementTo","10.1257/pol.20170069","DOI"
"30","10.3886/e231577v1","IsSupplementTo","10.1257/pol.20170020","DOI"
"31","10.3886/e231576v1","IsSupplementTo","10.1257/pol.20160560","DOI"
"32","10.3886/e231575v1","IsSupplementTo","10.1257/pol.20160555","DOI"
"33","10.3886/e231574v1","IsSupplementTo","10.1257/pol.20160439","DOI"
"34","10.3886/e231573v1","IsSupplementTo","10.1257/pol.20160373","DOI"
"35","10.3886/e231572v1","IsSupplementTo","10.1257/pol.20160246","DOI"
"36","10.3886/e231571v1","IsSupplementTo","10.1257/pol.20160005","DOI"
"37","10.3886/e231570v1","IsSupplementTo","10.1257/pol.20150313","DOI"
"38","10.3886/e231569v1","IsSupplementTo","10.1257/pol.20150024","DOI"
