"","count","Pct","Software"
"1",19676,48.37,"Stata"
"2",15244,37.47,"Matlab"
"3",1750,4.3,"Fortran"
"4",1084,2.66,"SAS"
"5",659,1.62,"R"
"6",454,1.12,"General"
"7",416,1.02,"C"
"8",291,0.72,"Unknown"
"9",258,0.63,"None"
"10",207,0.51,"Python"
"11",162,0.4,"Java"
"12",148,0.36,"Shell"
"13",124,0.3,"Windows"
"14",51,0.13,"RATS"
"15",50,0.12,"Ox"
"16",26,0.06,"Julia"
"17",20,0.05,"Gauss"
"18",14,0.03,"Excel"
"19",13,0.03,"TSP"
"20",8,0.02,"Perl"
"21",6,0.01,"Gurobi"
"22",5,0.01,"AML"
"23",5,0.01,"PHP"
"24",4,0.01,"AWK"
"25",3,0.01,"Javascript"
"26",3,0.01,"Splus"
