"","doi","size","count"
"1","10.1257/pandp.20181045",32782817227,795
"2","10.1257/pol.20150168",27251086584,691
"3","10.1257/app.20170080",19924915397,236
"4","10.1257/aer.20131496",15688843069,186
"5","10.1257/app.20160510",14419727617,465
"6","10.1257/app.6.3.206",12190878093,45
"7","10.1257/aer.102.2.994",10789428265,36
"8","10.1257/aer.20121662",10334181612,622
"9","10.1257/mic.20130164",8042445763,20
"10","10.1257/aer.20141374",6804364827,140
"11","10.1257/aer.p20151052",5299216215,24
"12","10.1257/pandp.20181107",5076726105,274
"13","10.1257/aer.20120642",4894566130,35
"14","10.1257/app.20170300",4700684172,61
"15","10.1257/app.20170223",4494125226,252
"16","10.1257/jep.32.3.239",4171449084,248
"17","10.1257/mac.20170390",4095383788,60
"18","10.1257/aer.20172020",4068510263,488
"19","10.1257/pandp.20181113",3967585917,19
"20","10.1257/pol.20130057",3846049341,76
"21","10.1257/app.3.4.152",3721214687,125
"22","10.1257/aer.97.5.2026",3618195926,132
"23","10.1257/aer.104.5.387",3582451167,67
"24","10.1257/pol.6.3.1",3506926360,49
"25","10.1257/pol.2.4.58",3331012591,139
"26","10.1257/pol.6.3.207",3270521359,368
"27","10.1257/app.20140095",3186195840,47
"28","10.1257/aer.104.11.3600",3184865835,55
"29","10.1257/aer.20131026",3049839347,142
"30","10.1257/jep.30.2.179",2863862106,125
"31","10.1257/app.5.4.144",2605143530,10
"32","10.1257/pol.20140048",2588588032,31
"33","10.1257/pol.20130248",2455239356,33
"34","10.1257/pol.3.4.77",2428697993,241
"35","10.1257/aer.20120555",2406184480,57
"36","10.1257/aer.20141708",2344550868,412
"37","10.1257/aer.20131296",2280887880,55
"38","10.1257/aer.20130821",2258878965,67
"39","10.1257/pol.20160618",2250888690,45
"40","10.1257/pol.20140258",2247538115,38
"41","10.1257/aer.20131377",2213855600,192
"42","10.1257/aer.104.11.3668",2127818098,625
"43","10.1257/app.2.4.128",2114505511,106
"44","10.1257/pol.4.4.253",1896306688,36
"45","10.1257/aer.20130375",1889531168,130
"46","10.1257/aer.103.5.1664",1885803902,204
"47","10.1257/aer.103.5.1960",1869306695,17
"48","10.1257/aer.98.5.2221",1830266214,38
"49","10.1257/app.20120387",1807514356,6
"50","10.1257/app.5.2.151",1802105447,10
"51","10.1257/mac.20150117",1755431083,16
"52","10.1257/aer.104.11.3529",1740211091,545
"53","10.1257/app.3.3.88",1731330040,36
"54","10.1257/pol.20140483",1725980872,11
"55","10.1257/jep.32.2.47",1663410167,59
"56","10.1257/pol.3.2.41",1654794808,34
"57","10.1257/aer.20161385",1650809752,58
"58","10.1257/pol.20130361",1643128427,198
"59","10.1257/aer.102.1.613",1621738696,242
"60","10.1257/pol.1.2.190",1595498054,685
"61","10.1257/pol.5.2.313",1575426403,4
"62","10.1257/aer.20160696",1569365940,22
"63","10.1257/app.20130169",1538146196,20
"64","10.1257/pol.3.4.25",1522547691,72
