"","doi","icpsr_doi","title"
"1","10.1257/0002828043052196","10.3886/E112306V1","Progressive Taxation and Long-Run Growth"
"2","10.1257/0002828043052358","10.3886/E112307V1","The Effect of Health Risk on Housing Values: Evidence from a Cancer Cluster"
"3","10.1257/0002828053828446","10.3886/E112308V1","The Sensitivity of Long-Term Interest Rates to Economic News: Evidence and Implications for Macroeconomic Models"
"4","10.1257/0002828053828455","10.3886/E112309V1","Will U.S. Agriculture Really Benefit from Global Warming? Accounting for Irrigation in the Hedonic Approach"
"5","10.1257/0002828053828509","10.3886/E112310V1","Patent Citations and the Geography of Knowledge Spillovers: A Reassessment"
"6","10.1257/0002828053828635","10.3886/E112311V1","Why the Apple Doesn't Fall Far: Understanding Intergenerational Transmission of Human Capital"
"7","10.1257/0002828053828671","10.3886/E112312V1","Educational Reform, Ability, and Family Background"
"8","10.1257/0002828054201242","10.3886/E112313V1","Do Rural Banks Matter? Evidence from the Indian Social Banking Experiment"
"9","10.1257/0002828054201314","10.3886/E112314V1","Does Competition for Capital Discipline Governments? Decentralization, Globalization, and Public Policy"
"10","10.1257/0002828054201323","10.3886/E112315V1","The Collapse of a Medical Labor Clearinghouse (and Why Such Failures Are Rare)"
"11","10.1257/0002828054201378","10.3886/E112316V1","Risk Aversion and Incentive Effects: Comment"
"12","10.1257/0002828054201468","10.3886/E112317V1","Ethnic Polarization, Potential Conflict, and Civil Wars"
"13","10.1257/0002828054825484","10.3886/E112318V1","Does School Choice Lead to Sorting? Evidence from Tiebout Variation"
"14","10.1257/0002828054825583","10.3886/E112319V1","When Optimal Choices Feel Wrong: A Laboratory Study of Bayesian Updating, Complexity, and Affect"
"15","10.1257/000282805774669664","10.3886/E112320V1","The Influence of Technology on Foreign Direct Investment"
"16","10.1257/000282805774670347","10.3886/E112321V1","Academic Journal Pricing and the Demand of Libraries"
"17","10.1257/aer.100.1.130","10.3886/E112322V1","Matching and Sorting in Online Dating"
"18","10.1257/aer.100.1.164","10.3886/E112323V1","Entry, Exit, and Investment-Specific Technical Change"
"19","10.1257/aer.100.1.193","10.3886/E112324V1","Patient Cost-Sharing and Hospitalization Offsets in the Elderly"
"20","10.1257/aer.100.1.214","10.3886/E112325V1","Contractibility and the Design of Research Agreements"
"21","10.1257/aer.100.1.247","10.3886/E112326V1","Multinationals and Anti-sweatshop Activism"
"22","10.1257/aer.100.1.304","10.3886/E112327V1","Currency Choice and Exchange Rate Pass-Through"
"23","10.1257/aer.100.1.337","10.3886/E112328V1","Demographics and the Politics of Capital Taxation in a Life-Cycle Economy"
"24","10.1257/aer.100.1.35","10.3886/E112329V1","Learning about a New Technology: Pineapple in Ghana"
"25","10.1257/aer.100.1.364","10.3886/E112330V1","Can Multistage Production Explain the Home Bias in Trade?"
"26","10.1257/aer.100.1.420","10.3886/E112331V1","Intergroup Conflict and Intra-group Punishment in an Experimental Contest Game"
"27","10.1257/aer.100.1.491","10.3886/E112332V1","Monetary Policy Rules and Macroeconomic Stability: Some New Evidence"
"28","10.1257/aer.100.1.504","10.3886/E112333V1","Tournaments and Office Politics: Evidence from a Real Effort Experiment"
"29","10.1257/aer.100.1.518","10.3886/E112334V1","Financial Exchange Rates and International Currency Exposures"
"30","10.1257/aer.100.1.541","10.3886/E112335V1","Social Preferences, Beliefs, and the Dynamics of Free Riding in Public Goods Experiments"
"31","10.1257/aer.100.1.557","10.3886/E112336V1","Risk and Time Preferences: Linking Experimental and Household Survey Data from Vietnam"
"32","10.1257/aer.100.1.572","10.3886/E112337V1","Earnings Losses of Displaced Workers Revisited"
"33","10.1257/aer.100.1.590","10.3886/E112338V1","The Effect of Medicare Part D on Pharmaceutical Prices and Utilization"
"34","10.1257/aer.100.1.70","10.3886/E112339V1","Multiple-Product Firms and Product Switching"
"35","10.1257/aer.100.1.98","10.3886/E112340V1","""Momma's Got the Pill"": How Anthony Comstock and <i>Griswold v. Connecticut</i> Shaped US Childbearing"
"36","10.1257/aer.100.2.125","10.3886/E112341V1","Do Traditional Institutions Constrain Female Entrepreneurship? A Field Experiment on Business Training in India"
"37","10.1257/aer.100.2.277","10.3886/E112342V1","The Effectiveness of Peer Tutoring on Student Achievement at the University Level"
"38","10.1257/aer.100.2.30","10.3886/E112343V1","Some Fiscal Calculus"
"39","10.1257/aer.100.2.321","10.3886/E112344V1","The Effect of Migration on Wages: Evidence from a Natural Experiment"
"40","10.1257/aer.100.2.532","10.3886/E112345V1","Growth Opportunities and Technology Shocks"
"41","10.1257/aer.100.3.1008","10.3886/E112346V1","Trade Shocks and Labor Adjustment: A Structural Empirical Approach"
"42","10.1257/aer.100.3.1046","10.3886/E112347V1","Investment and Usage of New Technologies: Evidence from a Shared ATM Network"
"43","10.1257/aer.100.3.1104","10.3886/E112348V1","A Theory of Optimal Random Crackdowns"
"44","10.1257/aer.100.3.1163","10.3886/E112349V1","The Burden of the Nondiversifiable Risk of Entrepreneurship"
"45","10.1257/aer.100.3.1195","10.3886/E112350V1","What Causes Industry Agglomeration? Evidence from Coagglomeration Patterns"
"46","10.1257/aer.100.3.1214","10.3886/E112351V1","Specific Capital and Vintage Effects on the Dynamics of Unemployment and Vacancies"
"47","10.1257/aer.100.3.1238","10.3886/E112352V1","Are Risk Aversion and Impatience Related to Cognitive Ability?"
"48","10.1257/aer.100.3.1277","10.3886/E112353V1","Vertical Relationships and Competition in Retail Gasoline Markets: Empirical Evidence from Contract Changes in Southern California: Reply"
"49","10.1257/aer.100.3.1283","10.3886/E112354V1","Antidumping Investigations and the Pass-Through of Antidumping Duties and Exchange Rates: Reply"
"50","10.1257/aer.100.3.691","10.3886/E112355V1","Product Creation and Destruction: Evidence and Price Implications"
"51","10.1257/aer.100.3.724","10.3886/E112356V1","A Study of the Internal Organization of a Bidding Cartel"
"52","10.1257/aer.100.3.763","10.3886/E112357V1","The Macroeconomic Effects of Tax Changes: Estimates Based on a New Measure of Fiscal Shocks"
"53","10.1257/aer.100.3.837","10.3886/E112358V1","Emissions Trading, Electricity Restructuring, and Investment in Pollution Abatement"
"54","10.1257/aer.100.3.870","10.3886/E112359V1","Infrequent Portfolio Decisions: A Solution to the Forward Discount Puzzle"
"55","10.1257/aer.100.3.905","10.3886/E112360V1","A New Approach to Estimating the Production Function for Housing"
"56","10.1257/aer.100.3.958","10.3886/E112361V1","Is a Donor in Hand Better Than Two in the Bush? Evidence from a Natural Field Experiment"
"57","10.1257/aer.100.3.984","10.3886/E112362V1","Pinocchio's Pupil: Using Eyetracking and Pupil Dilation to Understand Truth Telling and Deception in Sender-Receiver Games"
"58","10.1257/aer.100.4.1330","10.3886/E112363V1","Identifying the Elasticity of Substitution with Biased Technical Change"
"59","10.1257/aer.100.4.1358","10.3886/E112364V1","Social Comparisons and Contributions to Online Communities: A Field Experiment on MovieLens"
