"","doi","n_software"
"1","10.1257/aer.20140389",7
"2","10.1257/aer.102.1.428",6
"3","10.1257/aer.104.1.149",6
"4","10.1257/aer.20131118",6
"5","10.1257/aer.103.4.1398",5
"6","10.1257/aer.103.5.1697",5
"7","10.1257/aer.20120283",5
"8","10.1257/aer.20121662",5
"9","10.1257/aer.20140015",5
"10","10.1257/aer.20150993",5
"11","10.1257/aer.20151425",5
"12","10.1257/aer.99.1.146",5
"13","10.1257/mac.20170294",5
"14","10.1257/mic.6.4.407",5
"15","10.1257/pandp.20181031",5
"16","10.1257/aer.100.4.1572",4
"17","10.1257/aer.101.6.2754",4
"18","10.1257/aer.104.11.3668",4
"19","10.1257/aer.104.3.868",4
"20","10.1257/aer.20121437",4
"21","10.1257/aer.20140412",4
"22","10.1257/aer.20141685",4
"23","10.1257/aer.20141751",4
"24","10.1257/aer.20150742",4
"25","10.1257/aer.20151260",4
"26","10.1257/aer.20151485",4
"27","10.1257/mac.1.2.29",4
"28","10.1257/mac.2.4.53",4
"29","10.1257/mac.20150175",4
"30","10.1257/mac.6.1.162",4
"31","10.1257/mic.20170130",4
"32","10.1257/mic.6.4.35",4
"33","10.1257/pol.20130361",4
"34","10.1257/pol.20160035",4
"35","10.1257/aer.100.4.1778",3
"36","10.1257/aer.101.4.1312",3
"37","10.1257/aer.101.6.2391",3
"38","10.1257/aer.101.6.2530",3
"39","10.1257/aer.102.2.1062",3
"40","10.1257/aer.102.5.1773",3
"41","10.1257/aer.102.7.3277",3
"42","10.1257/aer.103.2.897",3
"43","10.1257/aer.103.4.1109",3
"44","10.1257/aer.103.4.1360",3
"45","10.1257/aer.103.6.2633",3
"46","10.1257/aer.104.1.1",3
"47","10.1257/aer.104.11.3529",3
"48","10.1257/aer.104.5.481",3
"49","10.1257/aer.104.5.501",3
"50","10.1257/aer.104.7.2127",3
"51","10.1257/aer.15000001",3
"52","10.1257/aer.20121524",3
"53","10.1257/aer.20121637",3
"54","10.1257/aer.20130249",3
"55","10.1257/aer.20131006",3
"56","10.1257/aer.20140260",3
"57","10.1257/aer.20140500",3
"58","10.1257/aer.20140647",3
