aa_ID,aa_DOI,datafile_name,num_files
884,10.1257/aer.100.4.1493,aer_100_4_1493_data.zip,1252
954,10.1257/aer.100.5.2031,aer_100_5_2031_data.zip,10141
1031,10.1257/aer.101.1.158,aer_101_1_158_data.zip,1015
1086,10.1257/aer.101.2.664,aer_101_2_664_data.zip,1364
1254,10.1257/aer.101.5.2108,aer_101_5_2108_data.zip,1803
1658,10.1257/aer.102.5.1857,aer_102_5_1857_data.zip,2788
1671,10.1257/aer.102.5.2147,aer_102_5_2147_data.zip,1163
2034,10.1257/aer.103.3.178,aer_103_3_178_data.zip,1087
3331,10.1257/aer.104.10.3073,aer_104_10_3073_data.zip,21278
2943,10.1257/aer.104.5.230,aer_104_5_230_data.zip,1344
3108,10.1257/aer.104.7.2075,aer_104_7_2075_data.zip,1259
4157,10.1257/aer.20110035,aer_20110035_data.zip,1537
3761,10.1257/aer.20110683,aer_20110683_data.zip,3237
4804,10.1257/aer.20130957,aer_20130957_data.zip,1217
5782,10.1257/aer.20141529,aer_20141529_data.zip,2819
6551,10.1257/aer.20150342,aer_20150342_data.zip,1161
4575,10.1257/aer.20150443,aer_20150443_data.zip,9538
8291,10.1257/aer.20150796,aer_20150796_data.zip,3479
9965,10.1257/aer.20151507,aer_20151507_data.zip,13263
8576,10.1257/aer.20160042,aer_20160042_data.zip,8612
7920,10.1257/aer.20161214,aer_20161214_data.zip,1048
11339,10.1257/aer.20161720,aer_20161720_data.zip,1092
9966,10.1257/aer.20170866,aer_20170866_data.zip,16685
10072,10.1257/aer.20180277,aer_20180277_data.zip,1162
4825,10.1257/app.20140473,app_20140473_data.zip,1629
11538,10.1257/app.20170487,app_20170487_data.zip,4141
12275,10.1257/app.20180017,app_20180017_data.zip,1484
2229,10.1257/app.5.3.63,app_5_3_63_data.zip,1639
3501,10.1257/jep.28.4.3,jep_28_4_3_data.zip,2752
3836,10.1257/mac.20130322,mac_20130322_data.zip,1532
10541,10.1257/mac.20160371,mac_20160371_data.zip,1715
10085,10.1257/mac.20170114,mac_20170114_data.zip,2498
12910,10.1257/mac.20180290,mac_20180290_data.zip,2705
926,10.1257/mac.2.4.88,mac_2_4_88_data.zip,1097
1195,10.1257/mac.3.3.53,mac_3_3_53_data.zip,1052
11266,10.1257/mic.20170112,mic_20170112_data.zip,7165
5292,10.1257/pol.20140011,pol_20140011_data.zip,1158
1984,10.1257/pol.5.2.282,pol_5_2_282_data.zip,1704
