Extension,Software,Type
aml,AML,Program
awk,AWK,Program
c,C,Program
cpp,C,Program
cc,C,Program
xls,Excel,Data
xlsx,Excel,Data
xlsm,Excel,Program
f90,Fortran,Program
f,Fortran,Program
f,Fortran,Program
for,Fortran,Program
f95,Fortran,Unknown
gau,Gauss,Program
zip,General,Archive
gz,General,Archive
tar,General,Archive
gitignore,General,Archive
Z,General,Archive
rar,General,Archive
7z,General,Archive
csv,General,Data
dbf,General,Data
dat,General,Data
asv,General,Data
shp,General,Data
shx,General,Data
raw,General,Data
asc,General,Data
nlsy79,General,Data
db,General,Data
scsv,General,Data
wav,General,Data
json,General,Data
mp3,General,Data
pdf,General,Document
eps,General,Document
png,General,Document
html,General,Document
rtf,General,Document
fig,General,Document
bmp,General,Document
prj,General,Document
jpg,General,Document
ps,General,Document
emf,General,Document
tif,General,Document
md,General,Document
svg,General,Document
wmf,General,Document
cbk,General,Document
htm,General,Document
tiff,General,Document
gif,General,Document
ris,General,Document
css,General,Document
bak,General,Junk
lock,General,Junk
tmp,General,Junk
cache,General,Junk
dropbox,General,Junk
log,General,Logfile
out,General,Logfile
o,General,Program
obj,General,Program
src,General,Program
ini,General,Program
sql,General,Program
inc,General,Program
rmd,General,Program
txt,General,Unknown
xml,General,Unknown
sol,Gurobi,Program
java,Java,Program
class,Java,Program
jar,Java,Program
js,Javascript,Program
jld,Julia,Data
jl,Julia,Program
tex,LaTeX,Document
dvi,LaTeX,Document
bbl,LaTeX,Document
blg,LaTeX,Document
bib,LaTeX,Document
lyx,LaTeX,Document
aux,LaTeX,Junk
texi,LaTeX,Junk
rnw,LaTeX,Junk
idx,LaTeX,Junk
synctex,LaTeX,Junk
mat,Matlab,Data
m,Matlab,Program
mod,Matlab,Program
mexw64,Matlab,Program
mexa64,Matlab,Program
mexw32,Matlab,Program
mx,Matlab,Program
mexmaci64,Matlab,Program
mexglx,Matlab,Program
docx,MSWord,Document
doc,MSWord,Document
pptx,MSWord,Document
ods,OpenOffice,Data
odt,OpenOffice,Document
ox,Ox,Program
ocx,Ox,Program
pl,Perl,Program
php,PHP,Program
py,Python,Program
nb,Python,Program
ipynb,Python,Program
pyc,Python,Program
rdata,R,Data
rd ,R,Data
Rhistory,R,Junk
r,R,Program
rproj,R,Program
rat,RATS,Program
sas7bdat,SAS,Data
sas7bcat,SAS,Data
lst,SAS,Document
sas,SAS,Program
sh,Shell,Program
bash,Shell,Program
s,Splus,Program
sav,SPSS,Data
dta,Stata,Data
gph,Stata,Document
ster,Stata,Document
do,Stata,Program
dct,Stata,Program
ado,Stata,Program
smcl,Stata,Program
fmt,Stata,Program
hlp,Stata,Program
sthlp,Stata,Program
scheme,Stata,Program
tsp,TSP,Program
pdb,Unknown,Data
tlog,Unknown,Document
history,Unknown,Junk
swp,Unknown,Junk
old,Unknown,Junk
prg,Unknown,Program
dic,Unknown,Program
run,Unknown,Program
cmd,Unknown,Program
config,Unknown,Program
cdflib90,Unknown,Program
so,Unknown,Program
exe,Windows,Program
dll,Windows,Program
bat,Windows,Program
wpd,Wordperfect,Document
